Date,Stone,Pounds,Ounces,weight_oz,calories,cals_per_oz,five_donuts,walk,run,wine,prot,weight,change
11/20/18,12,0,8,2696,2350,0.87,0,1,0,0,0,1,26
11/21/18,12,2,2,2722,5350,1.97,1,0,0,1,0,1,14
11/22/18,12,3,0,2736,1600,0.58,1,1,1,0,0,1,-46
11/23/18,12,0,2,2690,3150,1.17,1,1,0,1,0,0,-10
11/24/18,11,13,8,2680,3750,1.4,0,0,1,0,0,0,26
11/25/18,12,1,2,2706,6400,2.37,0,0,0,1,0,0,20
11/26/18,12,2,6,2726,2000,0.73,1,1,0,0,0,0,-20
11/27/18,12,1,2,2706,2200,0.81,1,1,0,1,0,0,-18
11/28/18,12,0,0,2688,2350,0.87,1,1,1,0,0,1,-8
11/29/18,11,13,8,2680,2050,0.76,1,1,0,0,0,1,-8
11/30/18,11,13,0,2672,3150,1.18,0,0,1,1,0,1,18
12/1/18,12,0,2,2690,4700,1.75,0,0,0,1,0,1,20
12/2/18,12,1,6,2710,4100,1.51,0,0,0,0,0,1,14
12/3/18,12,2,4,2724,2500,0.92,1,1,1,0,0,1,-34
12/4/18,12,0,2,2690,2400,0.89,1,1,0,0,0,1,-18
12/5/18,11,13,0,2672,2150,0.8,1,0,1,0,0,1,-14
12/6/18,11,12,2,2658,2300,0.87,0,1,0,1,0,1,-18
12/7/18,11,11,0,2640,2800,1.06,0,1,1,1,0,1,16
12/8/18,11,12,0,2656,9150,3.45,0,0,0,0,0,1,102
12/9/18,12,4,6,2758,1400,0.51,0,0,1,0,0,1,-38
12/10/18,12,2,0,2720,2200,0.81,1,1,0,0,0,1,-44
12/11/18,11,13,4,2676,2300,0.86,1,1,1,0,0,1,-18
12/12/18,11,12,2,2658,2400,0.9,1,1,1,0,0,0,0
12/13/18,11,12,2,2658,2100,0.79,0,1,0,0,0,0,-10
12/14/18,11,11,8,2648,2300,0.87,0,0,1,1,0,0,-8
12/15/18,11,11,0,2640,5750,2.18,0,0,0,0,0,0,16
12/16/18,11,12,0,2656,2950,1.11,0,1,1,0,0,0,0
12/17/18,11,12,0,2656,1950,0.73,1,1,0,0,0,0,-24
12/18/18,11,10,8,2632,1900,0.72,0,1,0,0,0,0,-4
12/19/18,11,10,4,2628,1500,0.57,0,1,0,1,0,0,-30
